l;q;k
1585;2808219;1368392
403;474824;1750796
1275;534816;363580
986;2254975;971716
378;1635104;590449
880;1436656;469319
426;786202;836722
326;750018;267665
1339;1309807;385539
899;626610;234554
278;543914;226537
431;809542;501863
440;1080523;660856
477;1032991;442906
591;293262;157709
225;329769;529797
47;203710;167788
320;562760;291627
65;125303;636798
200;638893;501186
1418;1065256;995399
161;444406;107089
414;469104;202795
230;180998;127635
367;536619;283353
375;515991;127739
338;304181.16;94751.35
347;725679;409066
281;332298;104768
755;514177;351376
300;315805;148817
221;421642;90819
602;404450;152692
167;316289;190198
316;234972;85805
308;506313;342910
225;322461;294454
368;144965;87043
458;388557;230646
910;526947;294153
354;406512;155214
375;570197;416344
518;356764;175432
154;232774;121080
348;436653;265162
272;268028;121938
379;153502;178010
219;176558;48038
496;379016;112769
178;472947;345812
435;304371.21;393855.9
230;209393;112785
481;269717;131569
355;252975;118994
119;83433;41548
608;729600;270227
241;242530;65467
388;384637;269619
388;492958;178235
289;416828;214921
167;202741;142692
235;238354;68878
246;278141;67322
237;254264;117789
276;247104;147839
191;266696;253393
227;155985;115702
240;190965;76400
297;383503;160671
628;303643;269098
217;258449;51001
300;210330;62981
501;340592;142063
267;274563;92204
291;350486;60194
310;154691;51321
250;359534;124793
100;247650;54869
266;192839;98327
21;22662;11232
641;420757;197082
295;216163;175759
206;257653;122788
577;289153;109136
367;172129;59159
436;242339;150291
80;59447;78263
414;150718;62159
213;245373;114247
164;202071;68266
168;195387;85148
405;81340;145047
213;267236;107483
43;152042;69397
286;307709;174467
122;120556;50406
256;231096;137953
261;263325;97506
320;303574;143674
1073;289279;113668
338;242068;97877
266;287177;141618
54;39948;106091
329;262376;135576
211;194501;113009
247;315624;144605
468;219347;71397
399;272872;75715
215;234242;138620
110;135156;53835
98;88471;69405
50;131951;53875
443;223897;102555
286;149083;64213
16;199089;330138
244;124718;56827
272;89393;75859
96;105949;121628
203;121271;58508
228;163078;127191
39;88687;44524
372;165613;63001
569;157071;84270
296;158235;52879
144;247058;113445
74;148982;60603
217;171218;73410
251;166940;76041
289;236519;148912
48;33549;15634
354;145139;111913
131;109041;42764
260;211062;105014
227;262769;108623
56;154799;17194
436;142347;48834
131;88727;63621
111;182711;47247
99;115195;27749
414;172758;57171
61;73018;46692
151;105378;36307
118;133865;60124
19;85166;36615
107;149591;50497
247;188811;68809
218;156825;44975
160;110045;99944
73;91080.552;25238.8
223;156519;89149
924;143379;40811
172;105331;36555
128;123484;35427
112;78598;109763
71;71010;17643
165;146139;101115
59;50774;29591
300;150399;106671
87;389457;137368
90;60797;75034
39;80787;83073
183;106848;53137
82;88562;46139
149;138948;28318
75;85464;71742
66;142224;31425
113;118247;59640
407;155846;68017
76;84326;12766
279;385447;104069
91;63444;27501
17;12185;6401
186;82541;16859
112;108864;113699
109;97458;24320
251;109221;65127
19;19500;21851
152;110671;39995
43;42711;16556
91;78119;30629
72;93832;27215
115;45669;20986
196;137383;64921
27;115690;52574
93;102323;37872
38;43118;22477
145;63449;26233
49;69821;46126
86;101552;26876
56;35049;61332
239;142818;66136
307;366416;149979
75;61058;17968
237;119071;111368
72;70559;24296
62;67203;25728
398;204903;59510
53;39927;34008
93;88012;19277
105;73359;61221
96;68130;15644
127;111980;109539
69;63510;19284
68;71830;14438
92;83114;18706
31;33633;15203
41;40265;11866
40;159824;125699
62;41477;17946
94;145612;56635
66;54250;16029
216;155904;36263
34;33774;26959
28;25533;8336
49;88116;16355
194;219744;155639
51;49039;36109
75;106013;33784
434;110092;47374
191;44517;42983
79;53830;28394
66;19767;30702
54;70337;29509
76;77616;40746
67;52068;12166
74;105750;123655
31;26429;6211
272;132928;47679
22;21007;6618
40;48203;13685
62;56960;30941
41;28530;14482
479;552189;167031
329;201505;101744
26;32819;9659
141;127547;29260
71;55792;26483
9;5959.334;18071.62
42;34839;34265
24;17890;13028
79;67588;35574
28;38433;46340
164;51429;25503
67;40360;54105
32;28036;12795
75;50138;17350
37;25587;7384
32;31184;11093
24;17914;4144
73;64639;38376
31;28832;3532
21;12718;3586
58;56121;16551
80;55140;28974
22;12991;18068
10;6861;13957
20;12801;4511
362;169053;109143
62;63854;28871
45;50120;23081
23;11463;12947
21;20927;4305
19;16593;2997
11;7376;3387
6;6500;12634
22;12081;29145
305;26658;41488
24;16773;4911
16;10480;2228
20;14829;2361
19;13989;3111
18;9444;5533
26;22050;963
21;16021;7481
9;6288;2631
13;8881;12749
27;24314;6715
32;22456;6270
16;5934;1109
9;12331;4494
18;8527;3730
9;9044;7511
46;32456;20835
24;16842;16063
3;1672;4101
32;26645;10179
8;2135;3792
7;7459;3260
6;3360;1308
8;5054;14496
17;11660;1834
97;35709;23728
446;113514;68347
21;13534;24513
21;7036;7817
24;16164;5655
12;40;73
91;63597;81709
6;1140;19887
